service_id,date,exception_type
BSP22GEN-E041-Saturday-00_C59,20220716,2
BSP22GEN-E041-Saturday-00_C59,20220723,2
BSP22GEN-E046-Sunday-00_C4,20220717,2
BSP22GEN-E046-Sunday-00_C4,20220905,1
BSP22GEN-E046-Sunday-00_C4,20221124,1
BSP22GEN-E073-Weekday-00_C33,20220704,2
BSP22GEN-E073-Weekday-00_C33,20220715,2
BSP22GEN-E073-Weekday-00_C33,20220718,2
BSP22GEN-E073-Weekday-00_C33,20220719,2
BSP22GEN-E073-Weekday-00_C33,20220720,2
BSP22GEN-E073-Weekday-00_C33,20220721,2
BSP22GEN-E073-Weekday-00_C33,20220722,2
BSP22GEN-E073-Weekday-00_C33,20220905,2
BSP22GEN-E073-Weekday-00_C33,20221124,2
BSP22GEN-F044-Saturday-00_C5,20220704,1
BSP22GEN-F044-Saturday-00_C5,20220716,2
BSP22GEN-F044-Saturday-00_C5,20220723,2
BSP22GEN-F048-Sunday-00_C43,20220717,2
BSP22GEN-F048-Sunday-00_C43,20220905,1
BSP22GEN-F048-Sunday-00_C43,20221124,1
BSP22GEN-F076-Weekday-00_C26,20220704,2
BSP22GEN-F076-Weekday-00_C26,20220715,2
BSP22GEN-F076-Weekday-00_C26,20220718,2
BSP22GEN-F076-Weekday-00_C26,20220719,2
BSP22GEN-F076-Weekday-00_C26,20220720,2
BSP22GEN-F076-Weekday-00_C26,20220721,2
BSP22GEN-F076-Weekday-00_C26,20220722,2
BSP22GEN-F076-Weekday-00_C26,20220905,2
BSP22GEN-F076-Weekday-00_C26,20221124,2
BSP22GEN-FS011-Saturday-00,20220704,1
BSP22GEN-FS011-Weekday-00,20220704,2
BSP22GEN-FS011-Weekday-00,20220905,2
BSP22GEN-FS011-Weekday-00,20221124,2
BSP22GEN-FS012-Sunday-00,20220905,1
BSP22GEN-FS012-Sunday-00,20221124,1
BSP22GEN-G036-Saturday-00_C1,20220704,1
BSP22GEN-G036-Saturday-00_C1,20220716,2
BSP22GEN-G036-Saturday-00_C1,20220723,2
BSP22GEN-G037-Sunday-00_C15,20220717,2
BSP22GEN-G037-Sunday-00_C15,20220905,1
BSP22GEN-G037-Sunday-00_C15,20221124,1
BSP22GEN-G052-Weekday-00_C34,20220704,2
BSP22GEN-G052-Weekday-00_C34,20220715,2
BSP22GEN-G052-Weekday-00_C34,20220718,2
BSP22GEN-G052-Weekday-00_C34,20220719,2
BSP22GEN-G052-Weekday-00_C34,20220720,2
BSP22GEN-G052-Weekday-00_C34,20220721,2
BSP22GEN-G052-Weekday-00_C34,20220722,2
BSP22GEN-G052-Weekday-00_C34,20220905,2
BSP22GEN-G052-Weekday-00_C34,20221124,2
BSP22GEN-H025-Sunday-00_C32,20220717,2
BSP22GEN-H025-Sunday-00_C32,20220905,1
BSP22GEN-H025-Sunday-00_C32,20221124,1
BSP22GEN-H026-Saturday-00_C17,20220704,1
BSP22GEN-H026-Saturday-00_C17,20220716,2
BSP22GEN-H026-Saturday-00_C17,20220723,2
BSP22GEN-H041-Weekday-00_C49,20220704,2
BSP22GEN-H041-Weekday-00_C49,20220715,2
BSP22GEN-H041-Weekday-00_C49,20220718,2
BSP22GEN-H041-Weekday-00_C49,20220719,2
BSP22GEN-H041-Weekday-00_C49,20220720,2
BSP22GEN-H041-Weekday-00_C49,20220721,2
BSP22GEN-H041-Weekday-00_C49,20220722,2
BSP22GEN-H041-Weekday-00_C49,20220905,2
BSP22GEN-H041-Weekday-00_C49,20221124,2
BSP22GEN-J032-Saturday-00_C42,20220704,1
BSP22GEN-J032-Saturday-00_C42,20220716,2
BSP22GEN-J032-Saturday-00_C42,20220723,2
BSP22GEN-J032-Sunday-00_C52,20220717,2
BSP22GEN-J032-Sunday-00_C52,20220905,1
BSP22GEN-J032-Sunday-00_C52,20221124,1
BSP22GEN-J052-Weekday-00_C12,20220704,2
BSP22GEN-J052-Weekday-00_C12,20220715,2
BSP22GEN-J052-Weekday-00_C12,20220718,2
BSP22GEN-J052-Weekday-00_C12,20220719,2
BSP22GEN-J052-Weekday-00_C12,20220720,2
BSP22GEN-J052-Weekday-00_C12,20220721,2
BSP22GEN-J052-Weekday-00_C12,20220722,2
BSP22GEN-J052-Weekday-00_C12,20220905,2
BSP22GEN-J052-Weekday-00_C12,20221124,2
BSP22GEN-L022-Saturday-00_C48,20220704,1
BSP22GEN-L022-Saturday-00_C48,20220716,2
BSP22GEN-L022-Saturday-00_C48,20220723,2
BSP22GEN-L022-Sunday-00_C29,20220717,2
BSP22GEN-L022-Sunday-00_C29,20220905,1
BSP22GEN-L022-Sunday-00_C29,20221124,1
BSP22GEN-L045-Weekday-00_C6,20220704,2
BSP22GEN-L045-Weekday-00_C6,20220715,2
BSP22GEN-L045-Weekday-00_C6,20220718,2
BSP22GEN-L045-Weekday-00_C6,20220719,2
BSP22GEN-L045-Weekday-00_C6,20220720,2
BSP22GEN-L045-Weekday-00_C6,20220721,2
BSP22GEN-L045-Weekday-00_C6,20220722,2
BSP22GEN-L045-Weekday-00_C6,20220905,2
BSP22GEN-L045-Weekday-00_C6,20221124,2
BSP22GEN-M023-Sunday-00_C25,20220717,2
BSP22GEN-M023-Sunday-00_C25,20220905,1
BSP22GEN-M023-Sunday-00_C25,20221124,1
BSP22GEN-M024-Saturday-00_C57,20220704,1
BSP22GEN-M024-Saturday-00_C57,20220716,2
BSP22GEN-M024-Saturday-00_C57,20220723,2
BSP22GEN-M089-Weekday-00_C65,20220704,2
BSP22GEN-M089-Weekday-00_C65,20220715,2
BSP22GEN-M089-Weekday-00_C65,20220718,2
BSP22GEN-M089-Weekday-00_C65,20220719,2
BSP22GEN-M089-Weekday-00_C65,20220720,2
BSP22GEN-M089-Weekday-00_C65,20220721,2
BSP22GEN-M089-Weekday-00_C65,20220722,2
BSP22GEN-M089-Weekday-00_C65,20220905,2
BSP22GEN-M089-Weekday-00_C65,20221124,2
BSP22GEN-N056-Saturday-00_C60,20220704,1
BSP22GEN-N056-Saturday-00_C60,20220716,2
BSP22GEN-N056-Saturday-00_C60,20220723,2
BSP22GEN-N059-Sunday-00_C30,20220717,2
BSP22GEN-N059-Sunday-00_C30,20220905,1
BSP22GEN-N059-Sunday-00_C30,20221124,1
BSP22GEN-N096-Weekday-00_C45,20220704,2
BSP22GEN-N096-Weekday-00_C45,20220715,2
BSP22GEN-N096-Weekday-00_C45,20220718,2
BSP22GEN-N096-Weekday-00_C45,20220719,2
BSP22GEN-N096-Weekday-00_C45,20220720,2
BSP22GEN-N096-Weekday-00_C45,20220721,2
BSP22GEN-N096-Weekday-00_C45,20220722,2
BSP22GEN-N096-Weekday-00_C45,20220905,2
BSP22GEN-N096-Weekday-00_C45,20221124,2
BSP22GEN-Q021-Saturday-00_C19,20220704,1
BSP22GEN-Q021-Saturday-00_C19,20220716,2
BSP22GEN-Q021-Saturday-00_C19,20220723,2
BSP22GEN-Q023-Sunday-00_C44,20220717,2
BSP22GEN-Q023-Sunday-00_C44,20220905,1
BSP22GEN-Q023-Sunday-00_C44,20221124,1
BSP22GEN-Q065-Weekday-00_C13,20220704,2
BSP22GEN-Q065-Weekday-00_C13,20220715,2
BSP22GEN-Q065-Weekday-00_C13,20220718,2
BSP22GEN-Q065-Weekday-00_C13,20220719,2
BSP22GEN-Q065-Weekday-00_C13,20220720,2
BSP22GEN-Q065-Weekday-00_C13,20220721,2
BSP22GEN-Q065-Weekday-00_C13,20220722,2
BSP22GEN-Q065-Weekday-00_C13,20220905,2
BSP22GEN-Q065-Weekday-00_C13,20221124,2
BSP22GEN-R050-Sunday-00_C3,20220717,2
BSP22GEN-R050-Sunday-00_C3,20220905,1
BSP22GEN-R050-Sunday-00_C3,20221124,1
BSP22GEN-R051-Saturday-00_C35,20220704,1
BSP22GEN-R051-Saturday-00_C35,20220716,2
BSP22GEN-R051-Saturday-00_C35,20220723,2
BSP22GEN-R092-Weekday-00_C2,20220704,2
BSP22GEN-R092-Weekday-00_C2,20220715,2
BSP22GEN-R092-Weekday-00_C2,20220718,2
BSP22GEN-R092-Weekday-00_C2,20220719,2
BSP22GEN-R092-Weekday-00_C2,20220720,2
BSP22GEN-R092-Weekday-00_C2,20220721,2
BSP22GEN-R092-Weekday-00_C2,20220722,2
BSP22GEN-R092-Weekday-00_C2,20220905,2
BSP22GEN-R092-Weekday-00_C2,20221124,2
